des,px,pz,stand,pitcher_name
Called Strike,0.455,1.749,Left-handed Batter,Clay Buchholz
Called Strike,-0.453,3.336,Left-handed Batter,Clay Buchholz
Ball,-1.426,2.305,Left-handed Batter,Clay Buchholz
Ball,0.032,4.095,Left-handed Batter,Clay Buchholz
Ball,0.826,0.249,Left-handed Batter,Clay Buchholz
Ball,-0.641,3.405,Left-handed Batter,Clay Buchholz
Ball,-1.294,3.551,Left-handed Batter,Clay Buchholz
Called Strike,0.333,2.399,Left-handed Batter,Clay Buchholz
Ball,-0.707,4.909,Left-handed Batter,Clay Buchholz
Ball,0.544,4.717,Left-handed Batter,Clay Buchholz
Ball,-1.476,3.858,Left-handed Batter,Clay Buchholz
Ball,0.231,4.655,Left-handed Batter,Clay Buchholz
Ball,-0.296,1.518,Left-handed Batter,Clay Buchholz
Ball,-1.165,3.321,Left-handed Batter,Clay Buchholz
Ball,1.082,1.616,Right-handed Batter,Clay Buchholz
Ball,1.827,1.737,Right-handed Batter,Clay Buchholz
Ball,0.75,4.352,Right-handed Batter,Clay Buchholz
Ball,-0.424,3.46,Right-handed Batter,Clay Buchholz
Called Strike,-0.07,3.498,Right-handed Batter,Clay Buchholz
Ball,0.79,0.953,Right-handed Batter,Clay Buchholz
Ball,-1.096,2.83,Right-handed Batter,Clay Buchholz
Ball,1.589,2.782,Right-handed Batter,Clay Buchholz
Called Strike,0.71,3.05,Right-handed Batter,Clay Buchholz
Ball,1.24,2.302,Right-handed Batter,Clay Buchholz
Called Strike,0.276,2.009,Left-handed Batter,Clay Buchholz
Ball,-2.107,4.257,Left-handed Batter,Clay Buchholz
Called Strike,0.612,3.514,Right-handed Batter,Clay Buchholz
Called Strike,0.391,2.104,Right-handed Batter,Clay Buchholz
Ball,1.561,1.951,Right-handed Batter,Clay Buchholz
Ball,-1.089,3.526,Right-handed Batter,Clay Buchholz
Called Strike,0.903,3.219,Right-handed Batter,Clay Buchholz
Called Strike,1.038,2.466,Right-handed Batter,Clay Buchholz
Called Strike,-0.971,2.172,Left-handed Batter,Clay Buchholz
Called Strike,0.774,2.731,Right-handed Batter,Clay Buchholz
Called Strike,0.665,2.583,Right-handed Batter,Clay Buchholz
Ball,-1.237,3.466,Left-handed Batter,Clay Buchholz
Called Strike,-0.284,2.76,Left-handed Batter,Clay Buchholz
Ball,0.14,4.11,Right-handed Batter,Clay Buchholz
Ball,-0.315,3.731,Right-handed Batter,Clay Buchholz
Called Strike,0.302,2.568,Right-handed Batter,Clay Buchholz
Ball,0.665,3.857,Right-handed Batter,Clay Buchholz
Ball,1.473,1.244,Right-handed Batter,Clay Buchholz
Ball,1.386,2.447,Right-handed Batter,Clay Buchholz
Ball,0.997,2.437,Left-handed Batter,Clay Buchholz
Called Strike,-1.046,1.72,Left-handed Batter,Clay Buchholz
Ball,-1.765,3.695,Left-handed Batter,Clay Buchholz
Called Strike,0.92,2.058,Right-handed Batter,Clay Buchholz
Ball,0.433,-0.05,Right-handed Batter,Clay Buchholz
Ball,1.532,2.887,Right-handed Batter,Clay Buchholz
Ball,-0.864,1.86,Right-handed Batter,Clay Buchholz
Ball,2.26,1.444,Right-handed Batter,Clay Buchholz
Ball,1.195,2.223,Right-handed Batter,Clay Buchholz
Ball,1.765,2.443,Right-handed Batter,Clay Buchholz
Ball,1.636,1.39,Right-handed Batter,Clay Buchholz
Ball,1.139,1.607,Left-handed Batter,Clay Buchholz
Ball,-0.119,1.39,Left-handed Batter,Clay Buchholz
Ball,0.985,1.723,Left-handed Batter,Clay Buchholz
Called Strike,0.785,2.729,Right-handed Batter,Clay Buchholz
Called Strike,-0.59,2.897,Left-handed Batter,Clay Buchholz
Called Strike,-0.678,2.879,Left-handed Batter,Clay Buchholz
Called Strike,-0.479,2.761,Left-handed Batter,Clay Buchholz
Ball,0.078,0.408,Left-handed Batter,Clay Buchholz
Ball,-2.273,3.381,Left-handed Batter,Clay Buchholz
Ball,-0.982,2.911,Left-handed Batter,Clay Buchholz
Ball,-1.778,3.945,Left-handed Batter,Clay Buchholz
Ball,0.91,3.678,Right-handed Batter,Clay Buchholz
Called Strike,0.894,1.984,Right-handed Batter,Clay Buchholz
Called Strike,0.773,2.068,Right-handed Batter,Clay Buchholz
Ball,1.542,2.483,Right-handed Batter,Clay Buchholz
Called Strike,0.03,3.003,Right-handed Batter,Clay Buchholz
Ball,1.434,3.258,Right-handed Batter,Clay Buchholz
Ball,1.506,2.672,Right-handed Batter,Clay Buchholz
Ball,-1.43,2.47,Right-handed Batter,Clay Buchholz
Called Strike,-0.18,2.32,Right-handed Batter,Clay Buchholz
Ball,-0.86,3.88,Left-handed Batter,Clay Buchholz
Ball,0.89,2.82,Left-handed Batter,Clay Buchholz
Ball,-1.24,3.33,Left-handed Batter,Clay Buchholz
Ball,0.89,1.85,Left-handed Batter,Clay Buchholz
Ball,-0.78,4.05,Right-handed Batter,Clay Buchholz
Ball,0.61,1.45,Right-handed Batter,Clay Buchholz
Called Strike,-0.13,3.35,Right-handed Batter,Clay Buchholz
Ball,1.25,3.15,Right-handed Batter,Clay Buchholz
Ball,-0.91,3.74,Right-handed Batter,Clay Buchholz
Ball,1.28,2.23,Right-handed Batter,Clay Buchholz
Called Strike,0.53,2.13,Right-handed Batter,Clay Buchholz
Ball,1.13,1.66,Right-handed Batter,Clay Buchholz
Ball,-0.67,3.83,Right-handed Batter,Clay Buchholz
Called Strike,0.52,2.64,Right-handed Batter,Clay Buchholz
Ball,1.1,3.41,Right-handed Batter,Clay Buchholz
Ball,0.68,1.78,Right-handed Batter,Clay Buchholz
Ball,1,2.05,Right-handed Batter,Clay Buchholz
Ball,1.04,1.19,Right-handed Batter,Clay Buchholz
Called Strike,-0.29,2.32,Left-handed Batter,Clay Buchholz
Ball,1.5,1.16,Left-handed Batter,Clay Buchholz
Called Strike,0.71,2.67,Left-handed Batter,Clay Buchholz
Ball,0.33,3.85,Right-handed Batter,Clay Buchholz
Called Strike,-0.12,2.4,Right-handed Batter,Clay Buchholz
Ball,2.34,0.19,Right-handed Batter,Clay Buchholz
Ball,0.64,4.58,Right-handed Batter,Clay Buchholz
Called Strike,0.15,3.32,Right-handed Batter,Clay Buchholz
Ball,0.61,4.13,Right-handed Batter,Clay Buchholz
Called Strike,-0.25,2.78,Right-handed Batter,Clay Buchholz
Called Strike,0.35,2.1,Right-handed Batter,Clay Buchholz
Ball,-1.14,3.57,Right-handed Batter,Clay Buchholz
Ball,-0.82,1.95,Left-handed Batter,Clay Buchholz
Called Strike,-1,2.14,Left-handed Batter,Clay Buchholz
Ball,-0.52,4.01,Left-handed Batter,Clay Buchholz
Called Strike,0.76,2.83,Right-handed Batter,Clay Buchholz
Ball,0.16,2,Right-handed Batter,Clay Buchholz
Ball,1.11,2.6,Right-handed Batter,Clay Buchholz
Ball,-1.84,2.73,Right-handed Batter,Clay Buchholz
Called Strike,0.73,2.6,Right-handed Batter,Clay Buchholz
Ball,0.92,3.53,Left-handed Batter,Clay Buchholz
Ball,0.3,3.76,Left-handed Batter,Clay Buchholz
Called Strike,-0.56,2.02,Left-handed Batter,Clay Buchholz
Called Strike,0.44,2.38,Right-handed Batter,Clay Buchholz
Ball,2.06,2.34,Right-handed Batter,Clay Buchholz
Ball,0.97,1.83,Right-handed Batter,Clay Buchholz
Ball,1.04,1.82,Right-handed Batter,Clay Buchholz
Ball,0.21,1.91,Right-handed Batter,Clay Buchholz
Called Strike,0.12,2.64,Right-handed Batter,Clay Buchholz
Called Strike,-0.26,2.28,Right-handed Batter,Clay Buchholz
Called Strike,-0.58,2.28,Left-handed Batter,Clay Buchholz
Ball,-0.49,3.69,Left-handed Batter,Clay Buchholz
Ball,0.43,1.99,Left-handed Batter,Clay Buchholz
Called Strike,-0.43,3.14,Left-handed Batter,Clay Buchholz
Ball,1.27,1.98,Right-handed Batter,Clay Buchholz
Ball,-1.2,2.86,Left-handed Batter,Clay Buchholz
Called Strike,0.89,2.49,Right-handed Batter,Clay Buchholz
Called Strike,-0.37,2.02,Left-handed Batter,Clay Buchholz
Called Strike,0.96,2.66,Right-handed Batter,Clay Buchholz
Ball,1.14,1.81,Right-handed Batter,Clay Buchholz
Ball,0.17,1.55,Right-handed Batter,Clay Buchholz
Ball,0.28,1.23,Right-handed Batter,Clay Buchholz
Called Strike,-0.268,3.188,Left-handed Batter,Clay Buchholz
Ball,0.862,3.113,Left-handed Batter,Clay Buchholz
Called Strike,1.089,2.236,Right-handed Batter,Clay Buchholz
Ball,1.443,2.089,Right-handed Batter,Clay Buchholz
Ball,0.979,1.357,Right-handed Batter,Clay Buchholz
Ball,1.887,2.051,Right-handed Batter,Clay Buchholz
Called Strike,0.527,1.741,Left-handed Batter,Clay Buchholz
Ball,0.909,1.125,Right-handed Batter,Clay Buchholz
Called Strike,0.424,2.183,Right-handed Batter,Clay Buchholz
Ball,-0.58,3.897,Left-handed Batter,Clay Buchholz
Called Strike,-0.932,2.525,Left-handed Batter,Clay Buchholz
Called Strike,0.815,2.803,Left-handed Batter,Clay Buchholz
Called Strike,0.762,2.9,Right-handed Batter,Clay Buchholz
Ball,1.156,1.897,Right-handed Batter,Clay Buchholz
Ball,-1.163,1.162,Right-handed Batter,Clay Buchholz
Called Strike,0.915,2.065,Left-handed Batter,Clay Buchholz
Ball,-1.152,4.004,Left-handed Batter,Clay Buchholz
Called Strike,-0.518,2.1,Left-handed Batter,Clay Buchholz
Ball,1.472,2.211,Right-handed Batter,Clay Buchholz
Ball,1.22,2.084,Left-handed Batter,Clay Buchholz
Ball,-1.879,2.59,Left-handed Batter,Clay Buchholz
Ball,0.101,1.55,Left-handed Batter,Clay Buchholz
Ball,0.384,4.061,Left-handed Batter,Clay Buchholz
Called Strike,-0.373,2.502,Left-handed Batter,Clay Buchholz
Called Strike,0.48,2.275,Right-handed Batter,Clay Buchholz
Called Strike,-0.359,2.125,Right-handed Batter,Clay Buchholz
Ball,1.548,2.357,Right-handed Batter,Clay Buchholz
Ball,1.154,0.774,Right-handed Batter,Clay Buchholz
Ball,-1.667,2.882,Left-handed Batter,Clay Buchholz
Called Strike,0.856,2.346,Right-handed Batter,Clay Buchholz
Ball,1.534,2.746,Right-handed Batter,Clay Buchholz
Ball,1.58,0.991,Right-handed Batter,Clay Buchholz
Called Strike,0.607,1.618,Right-handed Batter,Clay Buchholz
Ball,2.097,1.804,Right-handed Batter,Clay Buchholz
Ball,-0.374,3.41,Left-handed Batter,Clay Buchholz
Ball,-0.816,1.405,Left-handed Batter,Clay Buchholz
Ball,-1.043,3.555,Left-handed Batter,Clay Buchholz
Called Strike,-0.247,2.199,Left-handed Batter,Clay Buchholz
Called Strike,0.73,1.609,Left-handed Batter,Clay Buchholz
Ball,0.597,1.867,Left-handed Batter,Clay Buchholz
Ball,-1.228,3.927,Left-handed Batter,Clay Buchholz
Ball,0.144,3.593,Left-handed Batter,Clay Buchholz
Called Strike,0.688,2.546,Left-handed Batter,Clay Buchholz
Ball,-1.106,3.502,Left-handed Batter,Clay Buchholz
Ball,0.036,3.564,Left-handed Batter,Clay Buchholz
Called Strike,-0.271,2,Left-handed Batter,Clay Buchholz
Called Strike,0.886,2.012,Left-handed Batter,Clay Buchholz
Called Strike,-0.09,1.394,Left-handed Batter,Clay Buchholz
Ball,-1.575,2.005,Left-handed Batter,Clay Buchholz
Ball,-1.322,2.821,Left-handed Batter,Clay Buchholz
Ball,-1.287,1.296,Left-handed Batter,Clay Buchholz
Called Strike,0.405,2.991,Left-handed Batter,Clay Buchholz
Called Strike,-0.689,2.513,Left-handed Batter,Clay Buchholz
Ball,1.582,1.318,Right-handed Batter,Clay Buchholz
Called Strike,-0.1,2.321,Right-handed Batter,Clay Buchholz
Called Strike,1.111,2.358,Right-handed Batter,Clay Buchholz
Ball,-1.116,2.54,Right-handed Batter,Clay Buchholz
Called Strike,0.361,2.996,Right-handed Batter,Clay Buchholz
Ball,0.185,1.232,Left-handed Batter,Clay Buchholz
Called Strike,-0.191,1.605,Left-handed Batter,Clay Buchholz
Called Strike,-0.99,2.662,Left-handed Batter,Clay Buchholz
Ball,-0.143,4.693,Left-handed Batter,Clay Buchholz
Called Strike,0.227,1.877,Right-handed Batter,Clay Buchholz
Ball,0.486,4.029,Right-handed Batter,Clay Buchholz
Ball,1.066,1.655,Right-handed Batter,Clay Buchholz
Ball,0.314,3.353,Right-handed Batter,Clay Buchholz
Ball,0.839,3.941,Right-handed Batter,Clay Buchholz
Ball,0.984,1.161,Right-handed Batter,Clay Buchholz
Called Strike,-0.57,2.624,Right-handed Batter,Clay Buchholz
Ball,1.117,0.955,Right-handed Batter,Clay Buchholz
Called Strike,0.352,1.916,Left-handed Batter,Clay Buchholz
Ball,-1.006,3.511,Left-handed Batter,Clay Buchholz
Ball,-1.333,2.887,Left-handed Batter,Clay Buchholz
Ball,-1.03,3.764,Left-handed Batter,Clay Buchholz
Called Strike,0.112,2.409,Left-handed Batter,Clay Buchholz
Called Strike,0.812,2.77,Right-handed Batter,Clay Buchholz
Ball,1.268,2.101,Right-handed Batter,Clay Buchholz
Called Strike,-0.188,1.963,Left-handed Batter,Clay Buchholz
Ball,1.504,1.532,Left-handed Batter,Clay Buchholz
Ball,0.132,0.789,Right-handed Batter,Clay Buchholz
Ball,-0.276,4.595,Right-handed Batter,Clay Buchholz
Called Strike,0.015,2.968,Right-handed Batter,Clay Buchholz
Ball,1.68,1.34,Right-handed Batter,Clay Buchholz
Ball,-0.237,1.155,Left-handed Batter,Clay Buchholz
Ball,0.957,3.544,Left-handed Batter,Clay Buchholz
Called Strike,0.895,2.462,Left-handed Batter,Clay Buchholz
Ball,0.077,0.06,Left-handed Batter,Clay Buchholz
Ball,-1.096,2.238,Left-handed Batter,Clay Buchholz
Ball,0.764,0.066,Right-handed Batter,Clay Buchholz
Called Strike,0.519,2.391,Right-handed Batter,Clay Buchholz
Ball,-0.628,3.709,Left-handed Batter,Clay Buchholz
Called Strike,0.426,2.399,Left-handed Batter,Clay Buchholz
Ball,-0.971,3.852,Left-handed Batter,Clay Buchholz
Ball,0.945,1.006,Left-handed Batter,Clay Buchholz
Called Strike,-0.044,2.566,Right-handed Batter,Clay Buchholz
Ball,-1.2,4.86,Left-handed Batter,Clay Buchholz
Called Strike,-1.205,2.649,Left-handed Batter,Clay Buchholz
Ball,-1.632,2.373,Left-handed Batter,Clay Buchholz
Ball,-0.533,3.884,Left-handed Batter,Clay Buchholz
Called Strike,-0.593,3.383,Left-handed Batter,Clay Buchholz
Ball,-0.526,0.518,Left-handed Batter,Clay Buchholz
Ball,-0.367,1.636,Left-handed Batter,Clay Buchholz
Ball,-1.374,3.532,Left-handed Batter,Clay Buchholz
Ball,-1.32,2.946,Left-handed Batter,Clay Buchholz
Ball,-1.498,4.472,Left-handed Batter,Clay Buchholz
Ball,-1.431,2.409,Left-handed Batter,Clay Buchholz
Called Strike,-1.094,3.448,Left-handed Batter,Clay Buchholz
Called Strike,0.654,2.207,Left-handed Batter,Clay Buchholz
Ball,0.27,4.362,Right-handed Batter,Clay Buchholz
Ball,-1.445,2.835,Left-handed Batter,Clay Buchholz
Called Strike,0.264,2.693,Left-handed Batter,Clay Buchholz
Ball,-2.787,3.582,Left-handed Batter,Clay Buchholz
Called Strike,-0.666,3.433,Left-handed Batter,Clay Buchholz
Ball,-1.134,3.674,Left-handed Batter,Clay Buchholz
Ball,1.084,1.624,Right-handed Batter,Clay Buchholz
Called Strike,-0.327,2.848,Right-handed Batter,Clay Buchholz
Called Strike,-0.573,2.799,Right-handed Batter,Clay Buchholz
Ball,2.13,0.798,Right-handed Batter,Clay Buchholz
Ball,-1.406,2.979,Left-handed Batter,Clay Buchholz
Called Strike,0.906,2.682,Right-handed Batter,Clay Buchholz
Ball,1.286,2.712,Right-handed Batter,Clay Buchholz
Ball,-0.168,4.022,Right-handed Batter,Clay Buchholz
Ball,0.731,1.619,Right-handed Batter,Clay Buchholz
Ball,-1.321,2.635,Left-handed Batter,Clay Buchholz
Ball,0.851,2.726,Left-handed Batter,Clay Buchholz
Called Strike,-0.618,1.774,Left-handed Batter,Clay Buchholz
Ball,1.314,1.672,Left-handed Batter,Clay Buchholz
Called Strike,-0.258,1.724,Left-handed Batter,Clay Buchholz
Called Strike,0.573,2.97,Left-handed Batter,Clay Buchholz
Ball,-0.341,1.054,Left-handed Batter,Clay Buchholz
Ball,-1.838,3.617,Left-handed Batter,Clay Buchholz
Called Strike,-0.348,2.117,Left-handed Batter,Clay Buchholz
Ball,-0.983,4.252,Left-handed Batter,Clay Buchholz
Ball,0.135,1.165,Left-handed Batter,Clay Buchholz
Called Strike,0.493,3.169,Left-handed Batter,Clay Buchholz
Called Strike,0.516,3.016,Left-handed Batter,Clay Buchholz
Called Strike,0.617,2.332,Right-handed Batter,Clay Buchholz
Ball,2.482,2.256,Right-handed Batter,Clay Buchholz
Ball,-0.383,0.88,Right-handed Batter,Clay Buchholz
Called Strike,0.636,2.225,Right-handed Batter,Clay Buchholz
Ball,-0.025,3.62,Right-handed Batter,Clay Buchholz
Ball,-0.974,4.16,Right-handed Batter,Clay Buchholz
Called Strike,-0.721,3.019,Right-handed Batter,Clay Buchholz
Called Strike,1.191,2.169,Right-handed Batter,Clay Buchholz
Ball,0.013,1.237,Right-handed Batter,Clay Buchholz
Ball,0.914,0.772,Right-handed Batter,Clay Buchholz
Ball,-0.455,4.068,Right-handed Batter,Clay Buchholz
Called Strike,-0.127,2.68,Right-handed Batter,Clay Buchholz
Ball,0.286,4.312,Right-handed Batter,Clay Buchholz
Called Strike,-0.835,3.267,Left-handed Batter,Clay Buchholz
Ball,0.692,1.196,Left-handed Batter,Clay Buchholz
Ball,1.02,3.303,Left-handed Batter,Clay Buchholz
Ball,-0.112,0.365,Left-handed Batter,Clay Buchholz
Ball,-2.035,3.455,Left-handed Batter,Clay Buchholz
Ball,0.273,1.428,Right-handed Batter,Clay Buchholz
Ball,-1.376,2.261,Left-handed Batter,Clay Buchholz
Called Strike,-0.803,2.581,Left-handed Batter,Clay Buchholz
Ball,-1.08,3.476,Left-handed Batter,Clay Buchholz
Ball,-1.054,5.548,Left-handed Batter,Clay Buchholz
Ball,1.258,2.588,Right-handed Batter,Clay Buchholz
Ball,-0.064,1.178,Right-handed Batter,Clay Buchholz
Ball,-0.323,4.536,Right-handed Batter,Clay Buchholz
Ball,-1.674,4.373,Right-handed Batter,Clay Buchholz
Ball,1.019,4.086,Right-handed Batter,Clay Buchholz
Called Strike,0.107,2.432,Right-handed Batter,Clay Buchholz
Called Strike,0.238,3.312,Right-handed Batter,Clay Buchholz
Ball,0.338,0.902,Left-handed Batter,Clay Buchholz
Ball,-1.217,2.993,Left-handed Batter,Clay Buchholz
Ball,-1.62,4.358,Left-handed Batter,Clay Buchholz
Called Strike,-0.08,3.368,Left-handed Batter,Clay Buchholz
Ball,-0.962,0.37,Left-handed Batter,Clay Buchholz
Ball,-0.747,1.103,Left-handed Batter,Clay Buchholz
Ball,-1.108,2.116,Right-handed Batter,Clay Buchholz
Called Strike,-1.045,2.84,Right-handed Batter,Clay Buchholz
Ball,0.952,0.441,Right-handed Batter,Clay Buchholz
Ball,0.483,0.825,Right-handed Batter,Clay Buchholz
Ball,1.131,0.675,Right-handed Batter,Clay Buchholz
Called Strike,-0.92,2.673,Left-handed Batter,Clay Buchholz
Ball,-2.581,4.35,Left-handed Batter,Clay Buchholz
Ball,-1.92,2.662,Right-handed Batter,Clay Buchholz
Ball,1.074,3.683,Right-handed Batter,Clay Buchholz
Called Strike,-0.75,2.028,Right-handed Batter,Clay Buchholz
Ball,1.203,3.546,Right-handed Batter,Clay Buchholz
Ball,-0.188,3.553,Right-handed Batter,Clay Buchholz
Called Strike,-0.442,2.564,Left-handed Batter,Clay Buchholz
Ball,-1.508,2.972,Left-handed Batter,Clay Buchholz
Ball,-1.534,3.026,Left-handed Batter,Clay Buchholz
Ball,-0.762,3.499,Right-handed Batter,Clay Buchholz
Called Strike,0.549,1.852,Right-handed Batter,Clay Buchholz
Ball,1.247,1.672,Right-handed Batter,Clay Buchholz
Ball,-1.337,3.923,Left-handed Batter,Clay Buchholz
Ball,-1.024,4.292,Left-handed Batter,Clay Buchholz
Ball,1.215,3.141,Left-handed Batter,Clay Buchholz
Called Strike,0.443,3.72,Left-handed Batter,Clay Buchholz
Ball,-1.475,3.085,Left-handed Batter,Clay Buchholz
Called Strike,-0.85,2.618,Left-handed Batter,Clay Buchholz
Ball,0.304,1.072,Left-handed Batter,Clay Buchholz
Ball,-0.719,4.015,Left-handed Batter,Clay Buchholz
Ball,0.564,3.511,Left-handed Batter,Clay Buchholz
Ball,-1.469,2.532,Left-handed Batter,Clay Buchholz
Ball,0.921,1.658,Left-handed Batter,Clay Buchholz
Called Strike,-0.779,3.349,Left-handed Batter,Clay Buchholz
Called Strike,-0.836,2,Left-handed Batter,Clay Buchholz
Ball,2.08,2.877,Left-handed Batter,Clay Buchholz
Called Strike,-1.109,3.168,Left-handed Batter,Clay Buchholz
Called Strike,-0.475,2.252,Left-handed Batter,Clay Buchholz
Ball,-1.237,3.714,Left-handed Batter,Clay Buchholz
Called Strike,0.17,3.306,Left-handed Batter,Clay Buchholz
Ball,1.019,1.824,Left-handed Batter,Clay Buchholz
Ball,-0.495,1.729,Left-handed Batter,Clay Buchholz
Called Strike,-0.861,2.4,Left-handed Batter,Clay Buchholz
Ball,0.401,1.403,Left-handed Batter,Clay Buchholz
Ball,-1.696,2.586,Left-handed Batter,Clay Buchholz
Ball,-0.893,3.609,Left-handed Batter,Clay Buchholz
Called Strike,-0.98,3.342,Left-handed Batter,Clay Buchholz
Called Strike,0.113,1.58,Right-handed Batter,Clay Buchholz
Ball,-2.059,2.364,Right-handed Batter,Clay Buchholz
Called Strike,0.099,2.814,Left-handed Batter,Clay Buchholz
Ball,-1.169,2.022,Left-handed Batter,Clay Buchholz
Ball,-0.818,1.203,Left-handed Batter,Clay Buchholz
Called Strike,-0.199,2.803,Left-handed Batter,Clay Buchholz
Ball,0.448,3.744,Left-handed Batter,Clay Buchholz
Ball,-1.432,2.186,Left-handed Batter,Clay Buchholz
Ball,-1.597,2.132,Left-handed Batter,Clay Buchholz
Ball,-1.606,2.647,Left-handed Batter,Clay Buchholz
Called Strike,-0.123,2.935,Left-handed Batter,Clay Buchholz
Called Strike,0.928,1.971,Right-handed Batter,Clay Buchholz
Ball,0.712,0.135,Right-handed Batter,Clay Buchholz
Ball,-0.899,3.202,Right-handed Batter,Clay Buchholz
Ball,0.149,1.239,Right-handed Batter,Clay Buchholz
Ball,1.37,1.945,Right-handed Batter,Clay Buchholz
Ball,-1.143,2.844,Left-handed Batter,Clay Buchholz
Ball,-1.08,4.372,Left-handed Batter,Clay Buchholz
Ball,-0.553,3.982,Left-handed Batter,Clay Buchholz
Ball,2.072,1.085,Left-handed Batter,Clay Buchholz
Ball,-1.099,4.24,Left-handed Batter,Clay Buchholz
Called Strike,-0.456,2.656,Left-handed Batter,Clay Buchholz
Called Strike,-0.507,3.171,Left-handed Batter,Clay Buchholz
Ball,-1.861,3.014,Right-handed Batter,Clay Buchholz
Ball,0.178,1.497,Right-handed Batter,Clay Buchholz
Called Strike,0.219,2.641,Right-handed Batter,Clay Buchholz
Ball,-1.613,4.532,Left-handed Batter,Clay Buchholz
Called Strike,0.357,2.525,Left-handed Batter,Clay Buchholz
Ball,-0.683,0.956,Left-handed Batter,Clay Buchholz
Ball,1.011,3.093,Right-handed Batter,Clay Buchholz
Ball,-0.543,3.903,Right-handed Batter,Clay Buchholz
Called Strike,-0.803,3.004,Left-handed Batter,Clay Buchholz
Ball,-1.088,2.419,Left-handed Batter,Clay Buchholz
Ball,-1.672,1.916,Left-handed Batter,Clay Buchholz
Ball,0.656,0.945,Left-handed Batter,Clay Buchholz
Ball,-1.212,3.004,Left-handed Batter,Clay Buchholz
Called Strike,0.541,3.626,Left-handed Batter,Clay Buchholz
Ball,0.57,2.447,Left-handed Batter,Clay Buchholz
Ball,0.44,1.531,Left-handed Batter,Clay Buchholz
Called Strike,0.364,1.831,Right-handed Batter,Clay Buchholz
Ball,1.285,1.28,Right-handed Batter,Clay Buchholz
Ball,0.275,0.606,Right-handed Batter,Clay Buchholz
Ball,1.121,1.935,Right-handed Batter,Clay Buchholz
Called Strike,0.68,2.017,Right-handed Batter,Clay Buchholz
Ball,-0.014,4.5,Right-handed Batter,Clay Buchholz
Ball,-2.001,4.053,Right-handed Batter,Clay Buchholz
Ball,0.101,4.287,Right-handed Batter,Clay Buchholz
Called Strike,0.302,3.121,Right-handed Batter,Clay Buchholz
Ball,-1.278,1.864,Right-handed Batter,Clay Buchholz
Ball,0.574,0.138,Right-handed Batter,Clay Buchholz
Ball,-0.158,4.052,Right-handed Batter,Clay Buchholz
Called Strike,0.195,3.205,Right-handed Batter,Clay Buchholz
Called Strike,0.519,1.848,Left-handed Batter,Clay Buchholz
Ball,1.47,2.869,Left-handed Batter,Clay Buchholz
Called Strike,0.427,3.342,Right-handed Batter,Clay Buchholz
Ball,-1.69,3.229,Left-handed Batter,Clay Buchholz
Ball,-1.165,2.421,Left-handed Batter,Clay Buchholz
Called Strike,-0.336,2.228,Left-handed Batter,Clay Buchholz
Ball,-2.241,3.115,Left-handed Batter,Clay Buchholz
Ball,-1.096,0.966,Left-handed Batter,Clay Buchholz
Ball,1.466,0.653,Left-handed Batter,Clay Buchholz
Called Strike,-0.128,3.361,Left-handed Batter,Clay Buchholz
Ball,2.412,0.5,Left-handed Batter,Clay Buchholz
Ball,-1.334,4.415,Left-handed Batter,Clay Buchholz
Ball,-1.522,3.712,Left-handed Batter,Clay Buchholz
Called Strike,0.701,2.745,Left-handed Batter,Clay Buchholz
Ball,-1.256,3.515,Left-handed Batter,Clay Buchholz
Called Strike,-0.769,2.687,Left-handed Batter,Clay Buchholz
Ball,-1.45,2.767,Left-handed Batter,Clay Buchholz
Ball,-0.215,1.093,Right-handed Batter,Clay Buchholz
Called Strike,1.006,2.534,Right-handed Batter,Clay Buchholz
Ball,0.473,1.314,Left-handed Batter,Clay Buchholz
Ball,-1.309,3.297,Right-handed Batter,Clay Buchholz
Ball,0.133,4.573,Right-handed Batter,Clay Buchholz
Ball,-1.632,2.774,Right-handed Batter,Clay Buchholz
Called Strike,0.819,2.492,Left-handed Batter,Clay Buchholz
Called Strike,-0.595,1.911,Left-handed Batter,Clay Buchholz
Called Strike,-0.406,2.613,Left-handed Batter,Clay Buchholz
Ball,1.116,1.35,Left-handed Batter,Clay Buchholz
Called Strike,0.107,2.264,Left-handed Batter,Clay Buchholz
Ball,0.659,1.083,Left-handed Batter,Clay Buchholz
Called Strike,-0.433,3.228,Left-handed Batter,Clay Buchholz
Ball,-0.343,4.41,Left-handed Batter,Clay Buchholz
Ball,-1.001,4.034,Left-handed Batter,Clay Buchholz
Ball,-1,3.836,Left-handed Batter,Clay Buchholz
Ball,0.001,1.414,Left-handed Batter,Clay Buchholz
Called Strike,-0.929,2.644,Left-handed Batter,Clay Buchholz
Ball,-1.227,4.261,Left-handed Batter,Clay Buchholz
Ball,-1.266,3.862,Left-handed Batter,Clay Buchholz
Ball,1.284,1.127,Right-handed Batter,Clay Buchholz
Called Strike,-0.129,2.298,Right-handed Batter,Clay Buchholz
Called Strike,-0.35,1.74,Left-handed Batter,Clay Buchholz
Ball,0.376,1.45,Left-handed Batter,Clay Buchholz
Ball,-0.221,3.777,Left-handed Batter,Clay Buchholz
Ball,1.056,2.629,Left-handed Batter,Clay Buchholz
Called Strike,-0.785,2.627,Left-handed Batter,Clay Buchholz
Ball,0.948,4.066,Left-handed Batter,Clay Buchholz
Ball,-0.876,3.855,Left-handed Batter,Clay Buchholz
Ball,0.125,0.95,Left-handed Batter,Clay Buchholz
